# http://www.glerl.noaa.gov/ftp/publications/tech_reports/glerl-083/UpdatedFiles/ accessed Oct. 22, 2014
# Evaporation.xlsx!SUP
# Units: Monthly Evaporation (mm over lake) from GLERL Lake Evaporation Model (Lake area: 81,925 km2) 
# Data calculated and compiled by Tim Hunter at 
# U.S. Department of Commerce
# National Oceanic and Atmospheric Administration
# Office of Oceanic and Atmospheric Research
# Great Lakes Environmental Research Laboratory
# 4840 South State Road
# Ann Arbor, MI  48108
# tim.hunter@noaa.gov
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	Ann
1988	144.40	82.43	50.17	16.64	1.83	-3.05	-4.63	7.89	45.38	111.69	103.08	144.58	700.41
1989	87.19	82.48	43.62	20.08	2.15	-4.02	-4.81	-2.13	46.73	77.07	158.31	143.70	650.37
1990	67.11	61.45	42.88	26.25	6.01	-2.88	-3.44	-0.10	30.85	68.99	116.42	138.48	552.02
1991	107.01	43.39	36.99	11.63	0.66	-4.82	-6.27	0.58	64.38	81.33	136.47	112.91	584.26
1992	90.95	59.60	50.15	25.61	4.74	-1.43	-5.52	2.31	41.02	71.28	97.32	127.16	563.19
1993	106.01	73.03	40.78	21.34	-0.83	-3.80	-7.69	-3.23	52.15	83.33	109.99	102.30	573.38
1994	111.75	40.57	26.85	15.65	0.21	-4.38	-7.16	0.34	20.42	54.49	97.14	88.99	444.87
1995	112.16	99.55	39.98	30.48	0.76	-5.22	-5.87	3.88	58.84	70.25	156.55	135.71	697.07
1996	110.11	47.00	40.39	21.03	3.04	-5.16	-8.11	-7.41	22.75	64.95	102.81	97.63	489.03
1997	103.10	47.22	35.38	19.62	5.04	-5.00	-5.15	8.67	34.15	74.49	86.82	80.75	485.09
1998	88.82	26.98	58.53	16.52	2.38	5.77	23.72	25.86	63.53	85.19	110.86	148.96	657.12
1999	138.87	73.01	54.50	15.29	2.08	0.79	0.05	37.66	56.18	105.94	92.85	129.99	707.21
2000	121.80	62.72	34.52	34.80	0.76	-2.15	7.13	16.95	68.47	64.74	97.94	167.46	675.14
2001	88.79	87.46	45.82	7.23	-1.97	-4.64	4.52	18.76	60.80	86.68	66.72	108.42	568.59
2002	119.80	138.60	132.90	27.86	14.67	-6.91	-7.09	10.66	39.55	115.98	123.17	144.60	853.79
2003	134.81	50.84	27.40	21.39	-1.62	-4.79	-9.17	-0.58	40.03	71.34	117.95	106.14	553.74
2004	134.43	34.70	28.62	14.25	3.73	-4.55	-4.86	24.84	17.51	75.23	100.65	167.40	591.95
2005	131.28	60.29	52.13	10.09	3.25	-9.24	-2.71	14.61	42.48	63.56	124.16	143.15	633.05
2006	88.39	106.91	54.18	12.79	1.86	-2.26	4.26	39.33	75.24	120.89	93.98	115.26	710.83
2007	135.96	120.25	47.57	34.49	1.19	-6.21	-1.85	27.09	49.03	63.03	141.45	143.79	755.79
2008	118.62	80.87	51.46	17.45	3.69	-6.78	-6.28	10.92	40.14	84.10	110.39	173.92	678.50
2009	113.19	45.50	34.49	11.55	3.17	-5.04	-5.80	8.73	29.52	91.51	50.93	158.08	535.83
2010	114.42	73.87	26.05	11.98	1.71	-2.22	0.03	28.76	69.87	83.74	117.48	156.63	682.32
2011	143.72	94.69	56.79	20.89	1.98	-5.42	-5.30	13.54	61.36	74.62	91.62	132.64	681.13
2012	98.31	60.88	25.61	20.64	4.80	8.44	19.93	57.29	93.39	90.28	100.34	106.54	686.45
