# Lake Superior Outflow through St. Marys River
# Data provided by Jacob Bruxer@ec.gc.ca, accessed Oct. 21, 2014
# Lake Superior data through 2013.xls!St. Marys Flow
# LAKE SUPERIOR NBS CALCULATIONS USING ACTUAL MONTH & COORDINATED LAKE SURFACE AREA FOR CIS CONVERSION
# Apr-10
# CHANGE IN STORAGE USING ACTUAL MONTH AND COORDINATED LAKE SURFACE AREA - m^3/sec
#
# Meta data from cover email:
# Our office and Detroit USACE coordinate beginning-of-month water levels, change in storage, outflows, 
# diversions and residual NBS for Lake Superior, so I can provide that.  As for the other water budget 
# components, there are no coordinated runoff or evaporation datasets, you’d need to use something from
# Tim Hunter at GLERL and/or Vincent’s GEM data.  There is the coordinated precipitation dataset available, 
# but again you may prefer to use something different/better, such as CaPA from Vincent.  I was going 
# to mention during the hydrologic call the other day that I’m not aware of any records of consumptive 
# use/withdrawals from the Great Lakes, but that like groundwater flow, this is typically assumed to be 
# negligible (and on Lake Superior, it’s likely an especially suitable assumption).
#  
# I’ve attached a spreadsheet of what I’d call close to coordinated data from 1900 through 2013.  Note 
# that this data was last officially coordinated during the IUGLS for the period-of-record 1900-2008.  
# For Lake Superior, I believe the only major change then was the use of actual (rather than constant)
# month lengths, and this is reflected in the attached.  We haven’t officially coordinated any of this 
# data since, owing mainly to the fact we haven’t coordinated St. Clair and Detroit River outflows since 
# then and we typically coordinate all lakes at the same time.  But you picked a good lake, as the 
# Superior Board needs this data and coordinates it regularly, if only unofficially. 
#  
# So with the disclaimer that it’s not coordinated per so, I’ve added the years 2009 through 2013 myself 
# in the attached spreadsheet and also made a couple other modifications where I know there have been 
# updates since the IUGLS.  I’ve highlighted these changes in red.  I’m fairly confident these are the 
# best available datasets and are at least suitable to get you started (in the meantime, I’ve also CC’d 
# Keith so he or someone in his office can review what I’ve done). 
#
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1940	1810	1840	1530	1500	1590	1610	1730	1760	1730	1760	1730	1700
1941	1760	1760	1730	1700	1700	1700	1610	1700	1700	2180	3060	2380
1942	2350	1900	1670	2520	1900	2290	2610	2240	2240	1950	1590	1670
1943	1700	1810	2120	2290	2550	3110	3480	3600	3540	3230	2800	2120
1944	1930	1640	1640	1670	1730	1730	2270	2830	3090	3260	2890	2350
1945	2120	2100	2100	2440	3060	3000	2150	2100	2100	2290	2660	2120
1946	2100	2100	2070	1930	2180	2180	2180	2120	2180	2240	2180	2150
1947	2120	2120	2040	2070	2150	2210	3310	3260	2890	3230	2580	2210
1948	2150	2120	2100	2120	2100	1950	1840	1780	1640	1670	1670	1610
1949	1610	1610	1610	1670	1780	1810	1730	1870	2040	2040	2040	1900
1950	1780	1870	1870	1870	1930	2970	3510	3600	3570	3510	3430	3170
1951	2320	2270	2270	2940	3450	3480	3510	3450	3510	3510	3430	2920
1952	2380	2320	2290	2320	3030	2210	1900	3310	3310	3230	3030	2120
1953	2100	2040	1980	2210	2630	2780	3030	3400	3370	3230	2860	2270
1954	2100	2040	2040	2010	2150	2180	2830	3280	3200	2720	2150	1840
1955	1760	1760	1730	1700	2040	2120	1980	1870	1160	1420	2380	2180
1956	2100	2100	2070	2150	1950	1730	1760	2040	2040	2070	1980	1950
1957	1900	1870	1610	1610	1470	1530	1530	1810	1900	1900	1870	1840
1958	2010	2010	1950	1730	1760	1760	1610	1590	1610	1870	1950	1870
1959	1870	1900	1840	1980	1980	1950	1900	1950	2120	3170	3340	2520
1960	2100	2040	1950	1870	1930	3140	3260	2970	2920	2610	2070	1930
1961	1900	1900	1870	1870	1930	1950	1840	1610	1610	1640	1840	1840
1962	1810	1840	1810	1780	1700	1700	1780	1700	1590	1810	1930	1840
1963	1760	1840	1700	1610	1730	1730	1780	1760	2040	1810	1870	1590
1964	1670	1930	1930	1930	1980	2040	2290	2830	3030	3140	3280	2630
1965	2440	2380	2350	2320	2660	2800	3200	3230	3060	2890	2890	2410
1966	2180	2180	2180	2290	2270	2240	2720	2720	2940	2550	2270	2120
1967	2010	2040	2010	2010	2410	2550	2550	2610	2460	2010	2040	1980
1968	1950	1950	1900	1950	1980	1980	2830	3450	3480	3510	3480	2970
1969	2350	2610	2690	2920	3260	3280	3280	3310	2970	1950	1900	1930
1970	1930	2350	1980	1810	1810	1840	1840	2720	2240	1840	2440	2860
1971	2630	2350	2380	2690	3060	3200	3230	3000	3060	3200	3170	2800
1972	2290	2070	2120	2120	3140	3280	3230	3200	3260	3140	3280	2440
1973	2120	1610	1500	1560	1560	1590	2270	2750	3340	2630	2380	2410
1974	2150	2120	2120	2120	2070	2410	2150	2120	2100	2070	2380	2750
1975	2460	2410	2440	2610	2780	2520	2380	2290	2100	1870	1930	1980
1976	1980	1950	1950	2040	2380	2320	2270	2040	1930	1810	1610	1700
1977	1730	1730	1730	1760	1730	1760	1530	1700	1870	2780	3140	2550
1978	2210	2180	2150	2150	2320	2410	2440	2630	2750	2800	2750	2100
1979	1900	1900	1900	1900	2320	2750	3170	3230	3200	2750	2610	2290
1980	2120	2120	2100	2150	2410	2270	2180	2100	2040	2320	2350	1900
1981	1900	1900	1900	2120	2490	2720	2920	2750	2290	1360	1250	1300
1982	1270	1270	1270	1300	1730	2100	2210	2380	2410	2520	2830	2800
1983	2290	2320	2460	2440	2920	2940	2920	3000	2380	1700	2410	2380
1984	2290	2150	2290	2290	2800	2830	3030	3110	2920	2100	1610	1930
1985	1980	1980	2010	1980	1980	1930	1900	2320	2890	3450	3740	2920
1986	2410	2440	2410	2290	3000	3230	3140	3230	3060	2440	1640	1980
1987	2010	1980	2010	2010	2410	2180	1590	1560	1560	1670	1560	1560
1988	1780	1780	1780	1780	1980	1930	1590	1590	1980	1900	1590	2270
1989	2240	2270	2180	2210	2630	2660	2660	2610	2410	2040	1900	1900
1990	1900	1900	1900	1890	2040	1600	1860	1830	1840	1670	1860	1720
1991	1570	1560	1560	1930	2140	2150	2180	2480	1950	1930	1980	2340
1992	2270	2270	2180	2160	2280	2320	2120	2330	2200	2290	2230	2120
1993	2260	2290	2040	2110	2190	2430	2230	2210	2110	2130	2130	2050
1994	2120	2150	2130	2060	2390	2340	2200	2210	2140	2140	2170	2190
1995	2170	2040	1730	1820	1950	1860	1700	1990	1730	1960	2260	2050
1996	2050	2000	2010	1980	2280	2460	2600	2680	3160	3570	3180	2350
1997	2260	2290	2300	2410	2960	3190	3260	2790	2050	1920	1800	1800
1998	1820	1800	1980	1950	2030	1800	1800	1590	1550	1560	1560	1570
1999	1570	1570	1570	1520	1550	2070	2180	2490	2450	2220	2020	2040
2000	1900	1780	1720	1850	1870	1720	2080	2180	1930	1560	1570	1580
2001	1600	1570	1540	1540	1980	2120	2290	2240	2230	1960	1740	1950
2002	2020	1900	1810	1840	2050	2150	2240	2270	2270	2180	2220	2090
2003	1880	1750	1670	1780	1970	2170	2020	2100	2000	2040	1740	1780
2004	1690	1760	1740	1840	2020	2220	2260	2280	2330	2260	2360	2250
2005	2080	2030	2020	1990	2140	2250	2980	2530	2170	1900	2160	2110
2006	1970	1940	1840	1890	1910	2150	2140	2180	1770	1570	1570	1570
2007	1540	1360	1280	1390	1490	1510	1530	1540	1560	1560	1570	1650
2008	1730	1690	1620	1590	1710	2070	2230	2440	2240	2040	1680	1740
2009	1570	1550	1560	1590	1920	2120	1930	1810	2110	1800	1780	1780
2010	2000	1750	1550	1690	1550	1550	1550	1550	1540	1550	1560	1570
2011	1560	1540	1470	1470	1550	1630	1720	1740	1650	1560	1560	1560
2012	1560	1570	1500	1570	1560	1660	2090	2160	1850	1530	1620	1570
2013	1570	1560	1540	1540	1570	2050	2190	2690	2790	2790	2280	2180
