# Based on data from NBS_SUP_djh.xlsx, TAB PrcLd (in CMS)
# Computed by D. Holtschlag using formulas consistent with similar data
#   Note: It is not clear to djh why mm are multiplied by Area!$G$6 (Coor Lake) rather than Area!$F$6 
#         (Coor Land) in conversion 
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
2000	1370.48	846.03	1757.01	1489.96	2491.45	4233.28	1786.44	2923.65	1909.02	1532.63	1804.81	1566.35
2001	1367.72	2013.13	786.85	4705.86	2679.35	2444.95	2218.64	2475.81	2072.77	3420.83	2434.81	1532.32
2002	705.93	1330.32	1931.42	1889.69	2016.94	3237.76	2506.47	2620.49	2823.14	3349.11	1028.78	915.29
2003	696.73	781.23	1224.27	2003.40	2163.46	1900.15	3267.88	2331.13	2993.23	1585.05	1916.93	1260.44
2004	1147.63	989.22	1545.81	1648.65	2536.20	2048.07	2131.89	3040.43	2663.50	3757.09	1043.35	1924.68
2005	1535.70	972.29	788.39	901.14	2618.35	2810.15	1464.89	1461.21	2852.91	3879.70	3457.58	1585.35
2006	1455.39	1051.70	1415.23	931.23	2494.82	1268.56	2722.87	1268.41	2574.49	1829.04	1081.68	1758.54
2007	1100.74	818.56	1828.12	1659.10	2240.09	2593.82	2615.90	1290.78	4873.10	4275.12	1428.83	1809.73
2008	1235.91	772.96	766.01	2394.58	2784.48	4340.97	2931.92	1315.61	2838.02	1594.55	1945.76	1966.06
2009	893.52	976.02	1359.75	1839.65	1952.57	2044.90	2325.31	3346.04	1295.48	2697.12	1311.00	1602.83
2010	786.24	378.06	311.12	663.90	1452.93	3449.34	2686.40	2489.91	4404.32	1641.75	2221.96	1154.99
2011	1185.03	496.84	919.58	2830.74	2285.46	3182.96	2505.24	1849.58	2501.96	1837.63	1114.62	1101.04
