# Monthly Mean Gauged Percentage for runoff to LK SUPERIOR  from land surface
# (cubic meters/second) # Subbasin Drainage Area (square meters) =   0.1281E+006 
#
# Tim Hunter, NOAA GLERL, Nov. 13, 2014 email
# attachment copied to Drew, Jacob, Vincent, and me. 
# I am attaching information
# about Lake Superior runoff data. Note that this is from my 2012 update, so it
# doesn't reflect the current state of data availability. Primarily, the values
# from 2011-2012 should be ignored, since I had no Canadian runoff data. But it at
# least shows you what I can provide (once I get this data set updated as far as
# possible), and gives a historical sense.
# 
# Note that my runoff data does NOT use all available gauges. Our procedure is to
# first identify gauges that we might want to include, based on their location
# (not too close to lake, so we avoid backwater effects) and period of record.
# That gives us several dozen gauges per lake. Then, the ARM method only uses the
# most-downstream gauge from any branch of a river. Looking at the data (% gaged
# and number of gages) it might appear incongruous at times, since the number of
# gages may rise when the % falls. But that would be because a downstream gage did
# not report, so upstream gages on two separate branches were then used.
# 
# Note that the file for number of gauges in a month accounts for gaguges that
# report for only some days. This the fractional values. I think the data files
# should be relatively self-explanatory, but let me know if you have any questions
# about the files or methodology.
# 
# Tim
# 
Year       Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep   Oct     Nov     Dec      Ann 
 1924     12.17   12.17   12.17   12.17   12.17   12.17   12.17   12.17   12.17   12.17   12.17   12.17    12.17
 1925      9.46   12.17   12.17   12.17   12.17   12.17   12.17   12.17   12.17   12.17   12.17   12.17    11.94
 1926     12.17   12.17    8.56   13.86   17.23   17.23   17.23   17.23   17.23   17.23   17.23   17.23    15.38
 1927     17.23   17.23   17.23   17.23   17.23   17.23   17.23   17.23   17.23   17.23   17.23   17.23    17.23
 1928     17.23   17.23   17.23   17.23   17.23   17.23   17.23   17.51   17.51   17.51   17.51   17.51    17.35
 1929     17.51   17.23   17.23   17.23   17.23   17.23   17.23   17.23   17.23   17.23   15.09   13.22    16.74
 1930     13.22   13.22   13.51   15.91   17.51   17.51   17.51   15.45   17.51   17.51   16.18   13.51    15.71
 1931     13.51   13.51   13.51   16.18   17.51   17.51   17.51   17.51   17.51   17.51   14.71    8.45    15.41
 1932      8.45    9.15    9.15   11.66   18.21   18.21   18.21   18.21   18.21   18.21   18.21   18.21    15.34
 1933     18.21   18.21   18.21   18.21   16.40   18.21   18.21   18.21   18.21   18.21   18.21   13.97    17.71
 1934     13.16   13.16   13.16   13.16   18.21   18.21   18.21   18.21   18.21   18.21   18.21   18.21    16.53
 1935     18.21   18.21   18.21   18.21   18.21   18.21   18.21   18.21   18.21   20.46   20.46   20.46    18.77
 1936     20.46   20.46   20.46   20.46   20.46   20.46   20.46   20.46   20.46   20.46   20.46   20.46    20.46
 1937     20.46   20.46   20.46   20.46   20.46   20.46   20.46   20.46   20.46   20.46   20.46   20.46    20.46
 1938     20.46   20.46   20.46   20.46   20.46   20.46   20.46   20.46   20.60   20.99   20.99   20.99    20.60
 1939     20.99   22.50   22.50   22.50   22.50   22.50   22.50   22.50   22.50   22.50   22.50   22.50    22.37
 1940     20.99   20.99   20.99   21.74   22.50   22.50   22.50   22.50   22.50   22.50   22.50   20.99    21.93
 1941     20.99   20.99   20.99   22.50   22.50   22.50   21.80   21.80   21.80   21.80   21.80   20.87    21.70
 1942     20.29   20.29   20.29   21.80   21.80   24.51   24.51   24.51   24.51   25.78   25.78   24.27    23.19
 1943     24.27   24.27   24.27   25.03   25.78   25.78   24.61   25.49   25.78   25.78   25.23   24.27    25.05
 1944     24.27   24.27   24.27   25.23   25.78   25.78   25.78   25.78   25.78   25.78   25.78   24.85    25.28
 1945     24.29   24.28   25.09   26.26   26.26   26.26   24.75   24.75   25.40   26.26   26.26   24.75    25.39
 1946     24.61   24.61   25.87   26.12   26.13   26.12   26.13   26.26   26.12   26.12   26.12   26.12    25.86
 1947     24.75   24.75   24.75   26.13   26.15   26.14   24.61   24.75   24.61   24.34   24.33   25.84    25.10
 1948     24.47   24.47   24.47   25.97   26.93   27.79   27.79   27.79   27.79   27.79   27.79   26.28    26.61
 1949     26.15   26.15   26.15   26.85   27.65   27.94   27.94   27.94   27.94   27.94   27.94   26.43    27.25
 1950     26.57   26.57   26.57   26.57   33.16   47.28   47.28   47.28   47.28   47.28   47.28   45.77    39.07
 1951     45.64   45.64   45.64   47.14   47.14   47.14   47.14   47.14   47.14   47.28   47.28   45.77    46.67
 1952     45.77   45.77   45.77   47.28   47.28   47.28   47.28   47.28   47.28   47.28   47.28   47.28    46.90
 1953     47.28   47.28   47.28   47.28   47.28   47.28   47.28   48.65   49.02   49.02   49.02   49.02    47.97
 1954     49.02   49.02   49.02   49.02   49.02   49.02   49.02   49.02   49.02   49.43   49.43   49.43    49.12
 1955     47.92   47.92   47.92   47.92   49.09   49.43   49.43   49.43   49.43   49.43   49.43   49.43    48.90
 1956     49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43    49.43
 1957     49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43    49.43
 1958     49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43    49.43
 1959     49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   49.43   52.68   51.53   51.18    50.02
 1960     51.18   51.18   51.18   51.68   52.68   52.68   52.68   52.68   52.68   52.68   52.68   52.68    52.22
 1961     52.68   52.68   52.68   52.68   52.68   52.68   52.79   52.79   52.79   52.79   52.79   51.28    52.61
 1962     51.28   51.28   51.28   51.78   52.79   52.79   52.79   52.79   52.79   52.79   52.79   51.57    52.23
 1963     51.28   51.28   51.28   52.64   52.79   51.83   51.62   52.79   52.79   52.79   52.44   51.28    52.07
 1964     51.28   51.28   51.28   52.54   52.79   52.79   52.79   52.79   52.79   52.79   52.29   51.28    52.22
 1965     51.28   51.28   51.28   51.88   52.79   52.79   52.79   52.79   52.79   52.80   52.80   52.80    52.34
 1966     52.80   52.80   52.80   52.80   52.80   52.80   52.80   52.80   52.80   52.85   52.85   52.85    52.81
 1967     52.85   52.85   52.85   52.85   52.85   52.85   52.85   52.85   52.85   53.39   56.23   56.23    53.46
 1968     56.23   56.23   56.23   56.23   56.23   56.23   56.23   56.23   56.23   56.23   56.23   56.23    56.23
 1969     56.23   56.23   56.23   56.23   56.23   56.23   56.23   56.23   56.23   56.23   56.23   56.23    56.23
 1970     57.16   58.63   58.95   58.95   58.95   58.95   58.95   58.95   58.95   58.41   58.41   58.41    58.64
 1971     58.98   58.98   59.21   61.31   61.31   61.31   61.31   61.31   61.31   61.31   61.31   61.31    60.75
 1972     61.89   61.89   61.89   61.89   61.89   62.71   62.92   62.92   62.92   62.59   62.59   62.59    62.39
 1973     62.59   62.59   62.59   62.59   62.59   62.59   62.59   62.59   62.59   62.59   62.85   63.44    62.68
 1974     63.44   63.44   63.44   63.44   63.44   63.44   63.61   63.61   63.61   63.97   64.09   64.09    63.63
 1975     64.09   64.09   64.09   64.09   64.09   64.09   64.09   64.09   64.09   64.09   64.09   64.09    64.09
 1976     64.09   64.09   64.09   64.09   64.09   64.09   64.09   64.09   64.09   64.09   64.09   64.09    64.09
 1977     64.09   64.09   64.09   64.09   64.09   64.09   64.01   64.09   64.09   64.09   64.09   64.00    64.08
 1978     64.09   63.98   64.09   60.83   60.83   61.81   63.97   63.97   63.97   63.97   63.97   63.97    63.29
 1979     63.97   63.97   63.97   63.97   63.97   63.98   63.98   63.98   63.98   63.99   64.04   64.04    63.99
 1980     64.20   64.15   64.15   64.18   64.20   64.20   64.20   64.20   64.22   64.28   64.32   64.20    64.21
 1981     64.20   64.20   64.19   64.19   64.20   64.20   64.18   64.19   64.20   64.02   63.95   63.95    64.14
 1982     63.95   63.95   63.95   63.95   63.95   63.95   64.03   63.95   63.95   63.20   63.20   63.20    63.77
 1983     63.20   63.20   63.20   63.20   63.20   63.20   63.20   63.20   63.20   63.20   63.20   63.20    63.20
 1984     63.44   63.44   63.44   63.44   63.44   63.44   63.44   63.44   63.44   63.40   63.39   63.39    63.43
 1985     63.37   63.39   63.39   63.44   63.41   63.39   63.39   63.39   63.39   63.37   63.39   63.39    63.39
 1986     63.39   63.39   63.37   63.38   63.37   63.10   62.88   62.87   62.87   63.40   63.40   63.29    63.23
 1987     63.29   63.30   63.29   63.29   63.29   63.30   63.29   63.30   63.30   63.30   63.29   63.29    63.30
 1988     63.29   63.29   63.29   63.43   63.29   63.29   63.29   63.30   63.30   63.29   63.29   63.29    63.30
 1989     63.29   63.29   63.29   63.29   63.29   63.29   63.29   63.29   63.29   63.43   63.43   63.43    63.33
 1990     63.43   63.43   63.43   62.27   61.92   61.92   61.92   61.93   61.92   61.92   61.92   61.92    62.33
 1991     61.92   61.92   61.92   61.92   61.92   61.92   61.92   61.92   61.92   61.79   61.79   61.79    61.89
 1992     61.79   61.79   61.79   61.79   61.79   61.79   61.79   61.79   61.79   61.79   61.79   61.79    61.79
 1993     61.79   61.79   61.79   61.79   61.79   61.79   61.79   61.79   61.79   61.67   61.67   61.67    61.76
 1994     62.08   62.08   62.08   62.08   62.09   62.08   62.08   62.08   62.08   61.54   60.81   60.81    61.82
 1995     60.88   60.88   60.88   60.88   60.88   60.88   60.88   60.88   60.88   60.88   60.88   60.88    60.88
 1996     60.88   60.88   60.88   60.88   60.88   60.88   60.88   60.71   60.30   60.30   60.30   60.30    60.67
 1997     60.30   60.30   60.30   60.30   60.30   60.30   60.30   60.30   60.30   60.17   60.17   60.17    60.27
 1998     60.17   60.17   60.17   60.61   60.74   60.74   60.74   60.74   60.74   60.74   60.74   60.74    60.59
 1999     60.74   60.74   60.74   60.74   60.74   60.74   60.74   60.74   60.74   60.74   60.74   60.74    60.74
 2000     60.74   60.74   60.74   60.74   60.74   60.74   60.88   60.88   60.88   61.28   61.28   61.28    60.91
 2001     61.28   61.28   61.28   61.28   61.28   61.28   61.28   61.28   61.28   61.41   61.41   61.41    61.31
 2002     61.41   61.41   61.41   61.41   61.41   61.41   61.41   60.96   59.08   59.08   59.08   59.08    60.60
 2003     61.50   61.50   59.80   59.37   61.50   61.50   61.50   61.50   61.50   61.50   61.50   61.50    61.18
 2004     61.50   61.50   61.47   61.43   61.50   61.50   61.50   61.50   61.50   61.50   61.50   61.50    61.49
 2005     61.50   61.50   61.50   61.50   61.50   61.50   61.50   61.50   61.50   61.50   61.50   61.50    61.50
 2006     56.44   56.50   56.51   56.51   56.50   56.50   56.50   56.51   56.10   55.93   56.12   56.50    56.39
 2007     56.85   56.48   56.28   56.64   56.85   60.73   61.91   61.91   61.91   61.91   61.91   61.91    59.61
 2008     61.91   61.91   61.91   61.91   61.91   61.91   61.91   61.91   61.91   61.91   61.91   61.91    61.91
 2009     61.91   61.91   61.91   61.91   61.91   61.91   61.91   60.66   61.91   61.91   61.91   61.91    61.81
 2010     61.91   61.91   61.91   61.91   61.91   61.91   61.91   61.91   61.91   61.91   61.91   61.91    61.91
# 2011     17.66   17.66   17.66   17.65   17.65   17.53   17.53   17.53   17.53   17.53   17.38   14.89    17.35
# 2012     14.06   14.06   15.74   17.53   17.53   17.43   17.00   17.00 -999.99 -999.99 -999.99 -999.99  -999.99
# 
#  MIN      6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94     6.94
# 
#  MAX     64.20   64.20   64.19   64.19   64.20   64.20   64.20   64.20   64.22   64.28   64.32   64.20    64.21
# 
# MEAN     39.74   39.79   39.78   40.13   40.49   40.72   40.73   40.76   40.97   41.07   41.01   40.60    40.64
#
