# http://www.glerl.noaa.gov/ftp/publications/tech_reports/glerl-083/UpdatedFiles/ accessed Oct. 22, 2014
# NBS_SUP_djh!Evp_CMS modified on Oct. 23, 2014 by Dave Holtschlag, USGS
# Used original NBS_SUP.xlsx!Evp in mm and converted to cms used formula, area, and days in Tim Hunter's spreadsheet
# Original Units: Monthly Evaporation (mm over lake) from GLERL Lake Evaporation Model (Lake area: 81,925 km2) 
# Data calculated and compiled by Tim Hunter at 
# U.S. Department of Commerce
# National Oceanic and Atmospheric Administration
# Office of Oceanic and Atmospheric Research
# Great Lakes Environmental Research Laboratory
# 4840 South State Road
# Ann Arbor, MI  48108
# tim.hunter@noaa.gov
# Units converted to CMS by Dave Holtschlag, USGS, using conversions factors inferred from Hunter Precip_lake.xlsx with MM and CMS month/year conversions
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1971	3719.4	1186.1	843.9	495.7	76.9	-104.5	-35.3	480.0	1043.4	1412.5	3041.7	3561.8
1972	3952.3	1537.4	751.6	490.0	6.1	-69.4	-117.1	87.1	1754.4	2574.8	2323.9	3616.4
1973	2258.8	2218.5	650.1	687.7	150.2	-153.9	-113.1	51.2	1649.3	1479.0	3089.2	3373.0
1974	2877.4	2323.0	1875.0	568.6	167.1	-124.2	-138.9	325.2	1698.1	1712.6	2417.4	2819.1
1975	3041.7	2073.2	2056.5	989.2	-45.1	-140.6	-89.5	523.9	1728.8	1756.1	2507.7	3401.8
1976	3347.9	1934.2	1830.6	407.3	211.8	-109.9	87.7	925.7	2334.4	2359.0	3687.2	4060.9
1977	3179.3	1362.2	726.8	503.6	-38.6	-150.1	-15.9	960.3	1292.6	2802.6	3438.3	4514.5
1978	3997.1	1123.3	703.2	846.0	84.0	-88.1	-158.2	75.1	1180.2	2719.5	3788.6	3423.6
1979	2825.3	407.2	493.5	427.3	74.8	-112.8	-148.7	99.3	1019.9	2192.6	3083.2	3565.2
1980	3245.8	1189.1	671.3	366.2	38.6	-65.9	-117.1	4.0	1657.2	2914.1	3155.7	4505.6
1981	2535.9	1009.6	833.8	693.0	167.4	-127.3	-132.1	-19.3	1488.1	2166.8	2769.3	3264.2
1982	3005.2	585.7	394.8	533.7	-22.1	-15.8	-132.1	237.6	1139.0	1615.7	2968.2	2914.8
1983	2610.4	1861.8	1995.5	962.3	377.0	-51.3	-91.0	79.4	1658.2	2397.0	3650.2	4561.4
1984	2592.6	1126.2	1460.0	364.9	152.3	-115.9	-107.9	59.2	1521.3	1654.3	3395.2	3466.8
1985	2816.1	1265.2	1075.3	825.8	0.9	-49.4	-69.6	314.8	1407.0	2012.3	3627.0	4363.1
1986	2779.0	1069.3	692.1	447.9	112.5	-56.4	-135.5	286.9	950.2	2033.8	3721.4	2931.9
1987	2668.6	1847.2	1629.8	582.2	155.4	-72.5	-71.1	717.9	1158.0	3196.5	3106.0	3223.4
1988	3898.4	2355.6	1189.9	639.8	85.8	-56.1	-83.1	356.8	1391.5	3031.5	2842.5	3609.0
1989	2327.8	2877.5	1465.2	781.7	153.0	-71.3	-103.0	100.2	1497.2	2345.5	4488.9	4182.2
1990	2504.3	1715.2	979.0	782.4	198.9	-54.2	-73.9	8.0	938.2	1951.3	2980.2	3644.0
1991	3011.9	924.1	766.6	397.5	96.6	-99.1	-114.9	132.1	1969.5	2360.9	3928.9	3275.2
1992	2884.4	1848.0	1452.3	932.8	147.1	-26.3	-120.2	44.1	1191.0	1872.6	2436.1	2932.2
1993	2804.7	2728.5	1632.9	725.7	21.2	-59.9	-106.4	34.6	1786.4	2334.2	3093.0	2781.4
1994	3359.8	1320.8	744.2	535.3	59.2	-79.5	-99.6	354.7	816.9	1652.5	2811.1	2523.0
1995	3490.4	3293.9	1472.6	1001.5	43.8	-93.4	-17.8	289.7	1813.4	2170.8	4384.7	3762.9
1996	3355.8	1666.2	1253.4	776.3	170.4	-102.3	-155.1	-10.1	1078.8	1963.3	3275.8	3095.0
1997	3119.2	2015.5	1490.3	739.6	161.8	-113.4	-86.1	400.6	1090.5	2113.2	2761.1	2487.8
1998	2882.6	1022.5	1943.4	463.7	113.1	272.7	733.2	774.3	1906.8	2399.2	3466.4	4614.4
1999	4376.3	2674.6	1828.4	512.8	75.7	93.1	115.3	1196.1	1752.9	2920.3	2891.9	4064.8
2000	3849.7	2209.8	1210.5	1080.4	35.3	74.1	320.3	534.3	1989.8	1812.2	3045.5	5166.8
2001	2882.6	3128.6	1604.1	294.3	-52.4	-142.2	154.8	519.6	1741.1	2382.6	2050.6	3300.7
2002	3478.2	3119.1	2795.5	916.3	431.3	-90.0	109.4	786.2	1509.6	3208.1	3489.3	4174.0
2003	4381.2	2366.8	812.6	862.2	38.6	-77.3	-98.1	337.2	1491.5	2124.5	3083.5	2957.7
2004	3893.2	1749.4	1324.2	654.7	143.5	-33.3	89.8	1140.3	700.0	2092.0	2764.9	4458.7
2005	3796.0	2104.8	1826.3	361.4	141.6	-153.9	241.5	763.3	1415.8	1964.8	3396.4	3534.2
2006	2590.1	3363.5	1637.2	447.6	178.1	304.7	499.6	1501.4	2323.3	3206.9	2580.5	2992.3
2007	4641.1	4770.8	1961.2	1280.9	71.4	-110.9	116.8	898.1	1548.2	1894.3	4399.9	4530.2
2008	3867.4	2996.2	2025.2	666.1	130.3	-178.3	-131.8	352.8	1177.7	2456.5	3406.6	5400.7
2009	3803.7	2029.4	1299.7	501.4	117.1	-127.3	-136.1	268.2	831.8	2615.6	1522.9	4752.7
2010	3174.1	2493.7	826.7	382.6	91.0	78.2	128.7	915.9	2139.9	2270.4	3173.8	4295.0
2011	4704.9	3578.3	1969.4	765.9	105.1	-153.6	-138.2	397.0	1844.4	2186.1	2850.1	4111.7
