# http://www.glerl.noaa.gov/ftp/publications/tech_reports/glerl-083/UpdatedFiles/ accessed Oct. 22, 2014
# GL Diversions, 1900-present!LongLac & Ogoki
# NOTE: Using rounded rather than raw diversion data.
# Combined Long Lac and Ogoki Diversions - m3/sec
# Obtained from Ontario Power Generation Inc, via Environment Canada, Cornwall
# Data calculated and compiled by Tim Hunter at 
# U.S. Department of Commerce
# National Oceanic and Atmospheric Administration
# Office of Oceanic and Atmospheric Research
# Great Lakes Environmental Research Laboratory
# 4840 South State Road
# Ann Arbor, MI  48108
# tim.hunter@noaa.gov
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1968	110	90	80	110	280	450	280	110	100	80	360	250
1969	180	160	130	120	300	460	150	40	350	250	190	150
1970	140	130	110	90	180	320	270	250	250	350	80	180
1971	200	170	140	140	270	330	240	160	100	140	320	300
1972	210	160	120	100	210	240	160	140	130	150	160	160
1973	130	100	90	80	180	230	240	240	210	170	160	160
1974	130	120	100	90	130	40	40	120	240	250	250	190
1975	150	130	110	90	170	280	260	170	130	100	120	120
1976	120	100	80	80	190	210	170	130	90	70	60	50
1977	40	40	50	60	190	210	220	200	220	220	170	160
1978	150	130	100	90	130	350	310	230	200	160	120	120
1979	90	80	70	80	180	240	170	160	160	150	150	170
1980	140	110	90	90	170	160	120	80	60	80	110	130
1981	110	100	90	90	120	160	150	90	70	50	40	30
1982	70	60	40	50	120	220	220	130	130	170	170	180
1983	150	140	110	90	130	180	240	240	160	120	130	120
1984	130	120	100	90	260	300	280	200	160	120	100	120
1985	120	100	90	90	270	390	250	170	80	110	100	100
1986	120	110	90	70	230	310	120	200	110	110	120	120
1987	110	90	70	60	70	90	90	80	110	70	60	70
1988	70	70	60	50	120	180	210	200	210	230	300	240
1989	180	150	120	100	210	280	180	140	120	90	70	70
1990	60	60	70	60	160	310	330	230	130	90	90	100
1991	80	80	80	70	190	240	190	140	90	70	100	120
1992	120	120	100	90	230	330	210	150	90	80	100	160
1993	140	120	100	80	120	130	130	170	340	320	270	190
1994	150	120	90	60	100	120	200	230	160	190	200	220
1995	190	160	130	110	130	320	260	160	90	180	140	130
1996	130	120	70	50	90	360	230	190	200	170	260	290
1997	220	180	130	110	230	310	180	110	80	60	60	70
1998	80	80	50	40	60	30	40	40	40	80	160	160
1999	140	100	90	70	180	250	200	190	210	290	340	180
2000	160	140	110	100	220	360	270	250	140	130	130	150
2001	110	100	90	70	220	320	280	200	160	150	240	260
2002	190	140	120	90	270	420	230	210	170	140	100	90
2003	90	80	80	80	130	140	140	140	170	230	240	180
2004	140	120	120	100	240	420	310	230	380	380	100	70
2005	100	100	100	120	290	310	270	180	120	90	110	130
2006	130	120	90	130	320	290	180	110	70	60	60	60
2007	80	70	60	40	70	260	350	280	230	190	60	170
2008	210	150	120	90	250	190	80	50	100	190	210	180
2009	160	130	100	90	280	350	260	140	40	70	180	200
2010	160	120	100	90	70	90	110	140	150	140	170	140
2011	140	120	100	110	220	320	230	90	110	90	70	60
2012	80	80	80	160	240	80	220	250	150	100	80	80
2013	90	90	80	60	190	350	200	100	110	180	180	150
